X	Filing Date	Trade Date	Ticker	Company Name	Insider Name	Title	Trade Type	Price	Qty	Owned	ΔOwn	Value	1d	1w	1m	6m
M	2024-10-18 21:31:15	2024-10-09	LGMK	Logicmark, Inc.	Winvest Investment Fund Management Corp.	10%	P - Purchase	$0.09	+3,464,987	4,074,587	+568%	+$306,880				
AM	2024-10-18 20:40:00	2024-10-15	RRGB	Red Robin Gourmet Burgers Inc	Jumana Capital Investments LLC	See Footnote 1	P - Purchase	$5.79	+37,761	769,202	+5%	+$218,595				
	2024-10-18 20:18:58	2024-09-09	PETS	Petmed Express Inc	Nina Capital Holdings Inc.	10%	P - Purchase	$3.34	+12,500	2,078,000	+1%	+$41,750				
M	2024-10-18 19:41:15	2024-10-16	SIRI	Sirius Xm Holdings Inc.	Berkshire Hathaway Inc	10%	P - Purchase	$27.05	+1,557,702	110,276,790	+1%	+$42,143,337				
M	2024-10-18 18:19:31	2024-10-16	LGF	Lions Gate Entertainment Corp /cn/	Liberty 77 Capital L.P.	10%	P - Purchase	$6.74	+280,523	4,043,044	+7%	+$1,891,701				
	2024-10-18 16:29:32	2024-10-18	SCLX	Scilex Holding Co	Followwill Dorman	Dir	P - Purchase	$0.99	+1,000	2,300	+77%	+$990				
	2024-10-18 16:29:19	2024-10-18	SCLX	Scilex Holding Co	Chun Jay	Dir	P - Purchase	$0.95	+5,000	112,511	+5%	+$4,750				
M	2024-10-18 16:15:05	2023-12-27	ENGN	Engene Holdings Inc.	Forbion Growth Opportunities Fund I Cooperatief U.A.	10%	P - Purchase	$6.40	+470,633	6,236,565	+8%	+$3,012,674				
	2024-10-18 15:56:50	2024-10-17	RELL	Richardson Electronics, Ltd.	Benham James	Dir	P - Purchase	$13.65	+500	14,206	+4%	+$6,825				
M	2024-10-18 15:27:07	2024-10-16	FBK	Fb Financial Corp	Ayers James W.	10%	P - Purchase	$50.34	+4,000	10,890,841	0%	+$201,340				
	2024-10-18 11:04:01	2024-10-17	TPL	Texas Pacific Land Corp	Stahl Murray	Dir	P - Purchase	$1,064.91	+12	1,138,205	0%	+$12,779				
	2024-10-18 10:59:00	2024-10-16	RELL	Richardson Electronics, Ltd.	Plante Paul J	Dir	P - Purchase	$13.33	+3,823	13,029	+42%	+$50,961				
	2024-10-18 09:14:55	2024-10-17	SCLX	Scilex Holding Co	Wu Yue Alexander	Dir	P - Purchase	$0.95	+20,000	25,000	+400%	+$18,992				
	2024-10-18 09:10:30	2024-10-17	SCLX	Scilex Holding Co	Lemus David	Dir	P - Purchase	$0.90	+2,000	2,000	New	+$1,800				
	2024-10-18 09:08:55	2024-10-17	SCLX	Scilex Holding Co	Ji Henry	Exec Chairperson	P - Purchase	$0.97	+10,000	671,996	+2%	+$9,710				
M	2024-10-18 08:00:13	2024-10-16	USEG	Us Energy Corp	Smith Ryan Lewis	CEO	P - Purchase	$1.34	+1,000	884,614	0%	+$1,340				
D	2024-10-17 19:33:33	2024-10-16	ZIVO	Zivo Bioscience, Inc.	Yaldoo Laith L	Dir	P - Purchase	$15.96	+3,133	533,424	+1%	+$49,993				
D	2024-10-17 18:34:47	2024-10-15	CAMP	Camp4 Therapeutics Corp	Northpond Ventures II Gp, LLC	10%	P - Purchase	$11.00	+763,636	2,238,244	+52%	+$8,399,996				
M	2024-10-17 17:11:29	2024-10-15	DRUG	Bright Minds Biosciences Inc.	Cormorant Asset Management, LP	10%	P - Purchase	$7.65	+422,591	875,000	+93%	+$3,234,387				
M	2024-10-17 17:11:13	2024-10-15	RRGB	Red Robin Gourmet Burgers Inc	Jumana Capital Investments LLC	See Footnote 1	P - Purchase	$5.79	+37,761	769,202	+5%	+$218,595				
M	2024-10-17 17:07:01	2024-10-15	RRGB	Red Robin Gourmet Burgers Inc	Jcp Investment Management, LLC	See Footnote 1	P - Purchase	$5.79	+77,761	1,014,963	+8%	+$450,339				
D	2024-10-17 17:05:20	2024-10-15	CAMP	Camp4 Therapeutics Corp	Ah Equity Partners Bio I, L.L.C.	10%	P - Purchase	$11.00	+727,272	2,125,339	+52%	+$7,999,992				
	2024-10-17 17:00:04	2024-10-15	FVR	Frontview Reit, Inc.	Preston Stephen	COB, Co-CEO, Co-Pres	P - Purchase	$18.74	+3,540	100	-103%	+$66,340				
	2024-10-17 16:29:31	2024-10-15	FIS	Fidelity National Information Services, Inc.	Goldstein Jeffrey A	Dir	P - Purchase	$88.25	+626	10,397	+6%	+$55,245				
D	2024-10-17 16:19:30	2024-10-15	UPB	Upstream Bio, Inc.	Chimovits Erez	Dir, 10%	P - Purchase	$17.00	+825,000	4,554,873	+22%	+$14,025,000				
D	2024-10-17 16:17:52	2024-10-15	UPB	Upstream Bio, Inc.	Orbimed Advisors LLC	Dir, 10%	P - Purchase	$17.00	+825,000	4,554,873	+22%	+$14,025,000				
D	2024-10-17 16:15:05	2024-10-15	CAMP	Camp4 Therapeutics Corp	Enavate Sciences Gp, LLC	10%	P - Purchase	$11.00	+1,363,636	3,785,802	+56%	+$14,999,996				
D	2024-10-17 16:14:38	2024-10-15	CBLL	Ceribell, Inc.	Tpg Gp A, LLC	10%	P - Purchase	$17.00	+380,268	3,967,422	+11%	+$6,464,556				
	2024-10-17 16:12:44	2024-10-15	RELL	Richardson Electronics, Ltd.	Halverson Kenneth	Dir	P - Purchase	$13.02	+2,000	13,406	+18%	+$26,039				
M	2024-10-17 16:05:09	2024-10-15	PBF	Pbf Energy Inc.	Control Empresarial De Capitales S.A. De C.V.	Add'l Rep. Persons-see Ex.99-1, 10%	P - Purchase	$31.75	+1,002,000	24,464,398	+4%	+$31,816,000				
D	2024-10-17 16:05:04	2024-10-15	UPB	Upstream Bio, Inc.	Ai Upstream LLC	10%	P - Purchase	$17.00	+1,175,000	5,494,410	+27%	+$19,975,000				
	2024-10-17 16:03:23	2024-10-17	GALT	Galectin Therapeutics Inc	Freeman Kevin D	Dir	P - Purchase	$2.64	+1,300	132,832	+1%	+$3,432				
	2024-10-17 16:01:25	2024-10-15	RFIL	R F Industries Ltd	Holdsworth Mark Keith	Dir	P - Purchase	$4.00	+7,009	862,259	+1%	+$28,029				
	2024-10-17 15:15:58	2024-10-15	GABC	German American Bancorp, Inc.	Sheidler Jack	Dir	P - Purchase	$40.75	+22	63,582	0%	+$900				
	2024-10-17 15:12:56	2024-10-15	GABC	German American Bancorp, Inc.	Seger Thomas W	Dir	P - Purchase	$40.75	+42	686,058	0%	+$1,700				
	2024-10-17 15:12:15	2024-10-15	GABC	German American Bancorp, Inc.	Ellspermann Susan J	Dir	P - Purchase	$40.75	+21	8,568	0%	+$850				
	2024-10-17 15:11:14	2024-10-15	GABC	German American Bancorp, Inc.	Bawel Zachary W	Dir	P - Purchase	$40.75	+42	20,315	0%	+$1,700				
	2024-10-17 13:58:54	2024-10-15	ADTX	Aditxt, Inc.	Hrt Financial LP	10%	P - Purchase	$1.50	+15,636	0	-100%	+$23,454				
	2024-10-17 13:50:27	2024-10-16	ISBA	Isabella Bank Corp	Bourland Jill	Dir	P - Purchase	$21.00	+10	4,873	0%	+$200				
	2024-10-17 12:44:02	2024-10-16	SCLX	Scilex Holding Co	Shah Jaisim	See Remarks	P - Purchase	$0.99	+30,000	233,215	+15%	+$29,751				
	2024-10-17 12:03:42	2024-10-16	TPL	Texas Pacific Land Corp	Stahl Murray	Dir	P - Purchase	$1,050.21	+12	1,138,193	0%	+$12,603				
	2024-10-17 11:09:25	2024-10-16	SCLX	Scilex Holding Co	Ma Stephen Hoi	CFO	P - Purchase	$0.97	+6,700	22,840	+42%	+$6,499				
	2024-10-17 10:06:14	2024-10-15	RELL	Richardson Electronics, Ltd.	Benham James	Dir	P - Purchase	$13.29	+4,500	13,706	+49%	+$59,805				
	2024-10-17 08:49:04	2024-10-16	YORW	York Water Co	Snyder Mark S	VP- Engineering	P - Purchase	$35.46	+9	3,959	0%	+$325				
	2024-10-17 08:42:08	2024-10-16	YORW	York Water Co	Poff Matthew E	CFO	P - Purchase	$35.46	+4	6,757	0%	+$130				
	2024-10-17 08:33:57	2024-10-16	YORW	York Water Co	Hand Joseph Thomas	CEO, Pres	P - Purchase	$35.46	+275	33,282	+1%	+$9,750				
	2024-10-17 08:30:55	2024-10-16	APRE	Aprea Therapeutics, Inc.	Duey Marc	Dir	P - Purchase	$4.39	+30,000	240,715	+14%	+$131,700				
	2024-10-17 08:26:52	2024-10-16	YORW	York Water Co	Grimm Ashley M	VP- HR	P - Purchase	$35.46	+9	9	New	+$330				
	2024-10-17 08:15:25	2024-10-16	YORW	York Water Co	Chiaruttini Alexandra C	CAO, GC	P - Purchase	$35.46	+37	3,458	+1%	+$1,300				
	2024-10-17 06:26:44	2024-10-15	EONR	Eon Resources Inc.	Williams Mark	VP of Finance, Admin	P - Purchase	$1.00	+50,000	95,000	+111%	+$50,000				
	2024-10-17 06:23:49	2024-10-15	EONR	Eon Resources Inc.	Caravaggio Dante	CEO	P - Purchase	$1.09	+110,000	649,440	+20%	+$120,100				
	2024-10-17 06:19:32	2024-10-15	EONR	Eon Resources Inc.	Blount Byron	Dir	P - Purchase	$2.01	+2,500	73,139	+4%	+$5,025				
	2024-10-17 06:17:22	2024-10-15	EONR	Eon Resources Inc.	Trotter Mitchell	CFO	P - Purchase	$2.01	+2,213	34,398	+7%	+$4,448				
M	2024-10-16 21:42:56	2024-10-14	SNDA	Sonida Senior Living, Inc.	Simanovsky Michael	Dir, 10%	P - Purchase	$24.07	+34,448	7,736,668	0%	+$829,086				
